* c8f1bc7 Thu Aug 23 22:20:40 2018 iii(asdfas): asdfas  (HEAD -> master, origin/master, origin/HEAD) [山本 勝也]
* 1d1edc0 Wed Aug 22 22:15:16 2018 commitlintのテスト  [山本 勝也]
* c38de22 Wed Aug 22 00:50:28 2018 lintの修正  [山本 勝也]
* d2891e4 Wed Aug 22 00:48:48 2018 commitlintのテスト  [山本 勝也]
* e170827 Wed Aug 22 00:45:22 2018 lintのテスト  [山本 勝也]
* 2a41576 Wed Aug 22 00:14:05 2018 test  [山本 勝也]
* a27dffd Wed Aug 22 00:12:49 2018 perf(test.js): :+1: lint-stagedがcircleciで動くかテスト  [山本 勝也]
* a860613 Wed Aug 22 00:08:48 2018 refactor: :tada: lint-stagedをcircleciで走らせる  [山本 勝也]
* 04854d1 Tue Aug 21 23:55:28 2018 commitlintが走るかテスト  [山本 勝也]
* 2a47efb Tue Aug 21 23:52:46 2018 refactor: :+1: commitlintをcircleciで走らせる  [山本 勝也]
* c339d3c Tue Aug 21 23:35:36 2018 refactor(circleci): :pill: runの内容変更  [山本 勝也]
* a118d18 Tue Aug 21 23:16:11 2018 feat: :tada: circle ci初期コミット  [山本 勝也]
* 7aef919 Tue Aug 21 22:56:30 2018 2.2.0  (tag: v2.2.0) [山本 勝也]
* 40f6b0c Tue Aug 21 22:56:29 2018 updated CHANGELOG.md  [山本 勝也]
* 66357c9 Tue Aug 21 22:56:24 2018 fix: :+1: commitlintがgenerate-changelogに反応しないように変更  [山本 勝也]
* 9b6cddd Tue Aug 21 22:46:32 2018 feat: :tada: commitlintを追加  (origin/feature/add-commitlint, origin/develop, feature/add-commitlint, develop) [山本 勝也]
* 59f6272 Mon Aug 20 00:33:07 2018 2.1.0  (tag: v2.1.0) [山本 勝也]
* eefcc49 Mon Aug 20 00:33:07 2018 updated CHANGELOG.md  [山本 勝也]
* 441ab01 Mon Aug 20 00:31:44 2018 docs(README.md): :memo: 説明を大幅に加筆した  (origin/feature/update-readme, feature/update-readme) [山本 勝也]
* 96d1720 Sun Aug 19 19:52:25 2018 2.0.1  (tag: v2.0.1) [山本 勝也]
* b49c777 Sun Aug 19 19:52:25 2018 updated CHANGELOG.md  [山本 勝也]
* e54f2b2 Sun Aug 19 19:52:06 2018 fix: :bug: プロジェクト名の違いを修正  [山本 勝也]
* 0f548ec Sun Aug 19 19:26:31 2018 2.0.0  (tag: v2.0.0) [山本 勝也]
* e518749 Sun Aug 19 19:26:31 2018 updated CHANGELOG.md  [山本 勝也]
* 49b9d3b Sun Aug 19 19:02:58 2018 feat: :tada: generate-changelogを追加  (origin/feature/generate-changelog) [山本 勝也]
* 65fe3ce Sun Aug 19 15:16:50 2018 perf(commit-types-prefix.json): :+1: prefix項目増やした  [山本 勝也]
* 5ab1fce Sun Aug 19 14:20:19 2018 perf(engine.js): :+1: コミットコメントすべてをログ出力するようにした  [山本 勝也]
* 0154a60 Sun Aug 19 13:31:18 2018 Update issue templates  [tyankatsu]
* 8712061 Sun Aug 19 13:28:37 2018 Update issue templates  [tyankatsu]
*   8bb0dfd Sun Aug 19 13:09:45 2018 Merge pull request #4 from tyankatsu0105/timing-lint-staged  [tyankatsu]
|\  
| * 18dd9d7 Sun Aug 19 13:07:52 2018 perf: :tada: precommitを追加しscriptの順番変更  [山本 勝也]
|/  
* 74d0332 Sun Aug 19 12:01:58 2018 fix: :fire: 未使用module削除  [山本 勝也]
* 9d058ec Sun Aug 19 11:29:30 2018 feat(PULL_REQUEST_TEMPLATE.md): :tada: プルリクテンプレート作成  [山本 勝也]
* 0a58231 Sun Aug 19 04:26:46 2018 fix: :+1: 不備moduleの追加  [山本 勝也]
*   9497dae Sun Aug 19 04:24:42 2018 Merge pull request #2 from tyankatsu0105/lint-staged  [tyankatsu]
|\  
| * 19a3619 Sun Aug 19 04:23:51 2018 feat: :tada: lint-staged実装  [山本 勝也]
|/  
* 42a1ecc Sun Aug 19 01:46:18 2018 Update issue templates  [tyankatsu]
* c63e9e1 Sun Aug 19 01:05:58 2018 feat: :tada: readmeの追加  [山本 勝也]
* 4c37a30 Sun Aug 19 00:57:19 2018 feat: :tada: commitizenを独自カスタマイズ  [山本 勝也]
* 80e40a8 Sat Aug 18 23:07:42 2018 Initial commit  [tyankatsu]
